"Date","Price","Open","High","Low","Vol.","Change %"
"11/30/2023","83.357","83.359","83.419","83.290","","0.01%"
"11/29/2023","83.352","83.292","83.383","83.260","","0.01%"
"11/28/2023","83.340","83.358","83.399","83.292","","0.01%"
"11/27/2023","83.330","83.324","83.433","83.309","","-0.01%"
"11/24/2023","83.340","83.350","83.413","83.332","","0.04%"
"11/23/2023","83.305","83.276","83.368","83.265","","0.02%"
"11/22/2023","83.287","83.313","83.359","83.255","","-0.03%"
"11/21/2023","83.308","83.321","83.380","83.228","","-0.01%"
"11/20/2023","83.317","83.265","83.424","83.230","","0.09%"
"11/17/2023","83.244","83.161","83.303","83.161","","0.11%"
"11/16/2023","83.152","83.186","83.273","83.153","","-0.04%"
"11/15/2023","83.188","82.980","83.213","82.962","","0.26%"
"11/14/2023","82.973","83.209","83.278","82.906","","-0.25%"
"11/13/2023","83.180","83.309","83.343","83.201","","-0.15%"
"11/10/2023","83.309","83.302","83.499","83.224","","-0.01%"
"11/09/2023","83.315","83.232","83.341","83.216","","0.12%"
"11/08/2023","83.213","83.234","83.310","83.208","","-0.02%"
"11/07/2023","83.230","83.221","83.287","83.210","","0.01%"
"11/06/2023","83.218","83.107","83.263","83.085","","0.09%"
"11/03/2023","83.140","83.247","83.311","83.134","","-0.11%"
"11/02/2023","83.234","83.240","83.281","83.174","","0.00%"
"11/01/2023","83.237","83.278","83.337","83.225","","-0.02%"
"10/31/2023","83.256","83.260","83.293","83.221","","0.01%"
"10/30/2023","83.250","83.280","83.305","83.212","","-0.02%"
"10/27/2023","83.265","83.272","83.301","83.190","","0.03%"
"10/26/2023","83.243","83.163","83.269","83.131","","0.12%"
"10/25/2023","83.140","83.022","83.205","83.008","","0.16%"
"10/24/2023","83.010","83.031","83.102","82.956","","-0.07%"
"10/23/2023","83.071","83.160","83.206","83.085","","-0.10%"
"10/20/2023","83.150","83.150","83.216","83.012","","0.06%"
"10/19/2023","83.097","83.284","83.306","83.082","","-0.23%"
"10/18/2023","83.290","83.255","83.310","83.211","","0.06%"
"10/17/2023","83.240","83.215","83.289","83.186","","0.06%"
"10/16/2023","83.190","83.264","83.296","83.183","","-0.08%"
"10/13/2023","83.255","83.250","83.297","83.211","","-0.04%"
"10/12/2023","83.290","83.175","83.302","83.125","","0.16%"
"10/11/2023","83.160","83.217","83.246","83.116","","0.00%"
"10/10/2023","83.162","83.266","83.282","83.170","","-0.11%"
"10/09/2023","83.254","83.187","83.348","83.162","","0.16%"
"10/06/2023","83.118","83.218","83.303","83.121","","-0.10%"
"10/05/2023","83.200","83.214","83.305","83.178","","-0.06%"
"10/04/2023","83.250","83.235","83.346","83.173","","0.04%"
"10/03/2023","83.214","83.233","83.271","83.127","","0.05%"
