,0,1,2,3
0,dynamic 4,0.0001,0.9686920642852783,6.147321839067299e-06
1,dynamic 4,0.001,0.20263385772705078,9.778548095418227e-06
2,dynamic 4,0.01,0.10199713706970215,6.267102084928089e-06
3,dynamic 4,0.1,0.04278206825256348,7.38545171158067e-05
4,dynamic 5,0.0001,1.1328699588775635,6.424861228038203e-07
5,dynamic 5,0.001,0.3879392147064209,4.082311070477407e-06
6,dynamic 5,0.01,0.2216050624847412,1.5932311509814223e-06
7,dynamic 5,0.1,0.051381826400756836,7.38545171158067e-05
8,fe,0.0001,9.873284101486206,3.7873273394106732e-06
9,fe,0.001,1.0244219303131104,3.7887546358500446e-05
10,fe,0.01,0.1029360294342041,0.0003803093727632878
11,fe,0.1,0.011166810989379883,0.003953603088608149
12,trap,0.0001,122.27544212341309,1.5898912741896254e-10
13,trap,0.001,12.2568941116333,1.5901895869530058e-08
14,trap,0.01,1.2301676273345947,1.5932311509814223e-06
15,trap,0.1,0.13105392456054688,7.38545171158067e-05
16,rk4,0.0001,40.35578274726868,4.094901501217052e-14
17,rk4,0.001,4.0543670654296875,4.477754972365133e-14
18,rk4,0.01,0.4053640365600586,1.954369999168648e-11
19,rk4,0.1,0.041769981384277344,2.1543052633465898e-07
